,article
167,34110615
168,32912870
169,29425978
170,17920711
171,12692736
172,33996313
173,14192065
174,17154171
175,18413441
176,28123629
177,12204403
178,8423881
179,18378402
180,15173669
181,32637358
182,22892616
183,3288722
184,1924276
185,26331045
186,24863088
187,21037151
188,8211600
189,20859631
190,28349240
191,16217773
192,4674439
193,8040737
194,18041747
195,31312301
196,15189963
197,34854412
198,24357142
199,11117842
200,34720966
201,16188942
202,23559153
203,27863451
204,27436168
205,23130126
206,23474156
207,30305963
208,30866611
209,8489411
210,27899354
211,19095819
212,29513605
213,4730083
214,26404567
215,24310737
216,27100444
217,21927292
218,12000405
219,31485555
220,28214657
221,17052557
222,33040206
223,6860181
224,15083749
225,27409073
226,19088155
227,32110631
228,25970964
229,5541882
230,32220112
231,26838685
232,20410124
233,14345955
234,28470674
235,28538374
236,26174440
237,22859708
238,30363219
239,19688860
240,25615889
241,26916979
242,28835860
243,28344807
244,3864761
245,1260722
246,28492122
247,7886581
248,22506198
249,8213891
250,32250385
251,8934241
252,18580030
253,30427837
254,8011802
255,11586351
256,32231715
257,14760659
258,20601685
259,30581645
260,19625498
261,27356656
262,15489351
263,16195338
264,34803598
265,26289591
266,30132604
267,1895450
268,10971408
269,26934394
270,27352623
271,20675733
272,34679362
273,24995941
274,22702482
275,4513066
276,17618441
277,21520593
278,8335743
279,18316002
280,1275365
281,24829838
282,21895958
283,26449290
284,17934085
285,2005693
286,12708899
287,15685439
288,34557201
289,16704850
290,27514238
291,18078685
292,20083689
293,7925010
294,17601903
295,1395814
296,16331155
297,8349732
298,23950635
299,906063
300,18308077
301,22583659
302,28652816
303,21463272
304,27238616
305,21435533
306,12031565
307,28767166
308,18974586
309,24708207
310,24206365
311,20680439
312,30018835
313,19717844
314,16442343
315,28018458
316,22614771
317,34527480
318,16645136
319,31898838
320,28933964
321,21537028
322,20130935
323,3141878
324,1129459
325,32676251
326,27257145
327,12537204
328,19077461
329,29312603
330,21286224
331,32612433
332,12848727
333,32216642
334,17456235
335,24183726
336,11432815
337,26171139
338,28266140
339,32523507
340,20579827
341,25465190
342,22188083
343,7596325
344,30068732
345,1992436
346,30522522
347,30083561
348,33499153
349,12631361
350,25849541
351,26973287
352,27402542
353,30692835
354,9443675
355,5763634
356,27031492
357,9251739
358,10971390
359,12150132
360,19781681
361,32050679
362,27157931
363,4062612
364,11919246
365,22418038
366,33482246
367,29319775
368,30538873
369,6270610
370,14745065
371,21382284
372,25795410
373,11429702
374,22569924
375,34211664
376,28528983
377,29867613
378,9663228
379,20186557
380,30560092
381,25754329
382,30762122
383,8757000
384,10750662
385,33268964
386,26820577
387,9590224
388,17259557
389,23305810
390,21158312
391,24217912
392,10990547
393,27408659
394,33437808
395,22744893
396,31178897
397,27614181
398,30930778
399,29063264
400,9413465
401,16007891
402,23616602
403,22305802
404,23521917
405,33986808
406,33532437
407,17892608
408,26844522
409,25240630
410,21036091
411,28031716
412,18022478
413,20166270
414,24165505
415,20880829
416,23036572
417,33836755
418,30011896
419,27034572
420,32183173
421,23099082
422,18283520
423,1770240
424,24580032
425,8657357
426,2243979
427,24512473
428,25693576
429,12369670
430,24118373
431,10894866
432,9731568
433,34790123
434,33227285
435,23485836
436,23348106
437,3201231
438,1272069
439,31007975
440,4169467
441,32707408
442,18590843
443,22709412
444,23657934
445,22079971
446,18003771
447,34942948
448,27720350
449,10070301
450,6273765
451,8422626
452,28984674
453,27503444
454,10873009
455,24147210
456,29230160
457,20056504
458,30838149
459,22935569
460,31007890
461,10084261
462,28177860
463,17511804
464,10347997
465,21938392
466,34926479
467,3342599
468,16631340
469,24785887
470,29133339
471,29453989
472,29433557
473,19020123
474,34043457
475,28340133
476,1349451
477,29128335
478,17134371
479,27484659
480,27238990
481,29415672
482,20981594
483,21556351
484,19345909
485,11486078
486,3518562
487,27012364
488,3194779
489,12818906
490,27618499
491,18923864
492,31605980
493,15346351
494,22566735
495,509821
496,16482401
497,19258401
498,9931531
499,28012935
500,23216615
501,34943337
502,12191984
503,9732337
504,29926323
505,15948972
506,365318
507,25267014
508,19782641
509,30405524
510,17021834
511,27997679
512,28214457
513,18667731
514,18087209
515,25477967
516,24447608
517,28149139
518,33534759
519,19451436
520,7622642
521,26040184
522,12861881
523,32328817
524,15546098
525,24331333
526,29398931
527,7942991
528,9010400
529,7489624
530,12173116
531,16414480
532,20688363
533,19893059
534,21964704
535,20002154
536,20479563
537,14500213
538,15135246
539,23002333
540,12145724
541,22872742
542,23292759
543,24645839
544,1865873
545,24381286
546,27081272
547,18333077
548,30646868
549,19813188
550,22691685
551,15562036
552,21626275
553,24171518
554,32071855
555,2651695
556,27695855
557,22085994
558,17916470
559,26497495
560,23336741
561,24081532
562,17971856
563,9579814
564,23613519
565,28431477
566,30788678
567,22162602
568,30315159
569,14825501
570,16196117
571,34915866
572,14526095
573,31737523
574,29025772
575,20352340
576,25382968
577,32434545
578,19118152
579,25629087
580,27883372
581,16673841
582,15826268
583,25116239
584,26054435
585,20492407
586,25742461
587,29604401
588,18441328
589,15064763
590,21337031
591,15121758
592,20061334
593,26665124
594,24285813
595,27317050
596,30283547
597,33851017
598,25314221
599,8340485
600,16723030
601,30671338
602,34684109
603,17968156
604,33683707
605,18558161
606,5929460
607,33762902
608,20974606
609,26500801
610,31085705
611,21723786
612,14707963
613,27054448
614,34502012
615,29298625
616,31018834
617,20861443
618,27357737
619,15747651
620,24798559
621,28847238
622,29360534
623,22829239
624,8798356
625,30915254
626,22513377
627,20176603
628,24419411
629,27274853
630,28695025
631,23824375
632,30963696
633,20358599
634,26993160
635,23151669
636,29436178
637,27784674
638,8526448
639,28646772
640,18411863
641,31966909
642,25036063
643,26795929
644,25243176
645,23480270
646,24321502
647,33224397
648,16919583
649,34209001
650,21794140
651,33014962
652,16730363
653,3700887
654,31775212
655,32743835
656,16135837
657,20164393
658,19268935
659,26451261
660,11861268
661,26299184
662,14716452
663,23613099
664,32420975
665,34528830
666,21600512
667,17005952
668,16554601
669,27002912
670,9510314
671,29437535
672,23339197
673,28244464
674,11075494
675,30073261
676,27831696
677,17931389
678,27372019
679,24628767
680,28377243
681,23794269
682,33145224
683,21274720
684,18798301
685,34925977
686,19725163
687,12671869
688,13901642
689,740731
690,26874642
691,17130218
692,29271340
693,29926249
694,30363554
695,19656640
696,5110867
697,28646118
698,22361761
699,20736934
700,27588206
701,16155429
702,22365629
703,24318727
704,34934453
705,20538083
706,26875967
707,19570578
708,25705146
709,23716551
710,22915651
711,26418951
712,27370946
713,33816589
714,21286228
715,22865293
716,26029025
717,25643188
718,22523429
719,17476104
720,30145531
721,21356829
722,21628009
723,22526769
724,26307446
725,3518911
726,30652164
727,11081906
728,17277777
729,28871505
730,19205597
731,11571218
732,33003400
733,29559905
734,16146446
735,21693006
736,26014929
737,22786990
738,26130436
739,3733005
740,33801346
741,9142758
742,22411083
743,16305922
744,18039390
745,23858507
746,29944588
747,2032882
748,34654390
749,22020885
750,30879267
751,15696061
752,16645447
753,23826428
754,23927752
755,21976604
756,28793533
757,16864815
758,3054417
759,27768660
760,15063896
761,17211607
762,24434185
763,28074279
764,9806373
765,18196739
766,34733565
767,18808545
768,32874211
769,24055392
770,15245957
771,18647320
772,11121902
773,10187969
774,23239055
775,31616923
776,23193443
777,21556930
778,14749401
779,26137118
780,32560062
781,17276632
782,18301930
783,10709338
784,21221095
785,24705963
786,24237621
787,10388044
788,11992832
789,32363094
790,25430858
791,33810232
792,33686308
793,26787823
794,31123649
795,6684403
796,24278891
797,14507519
798,27382029
799,27287688
800,31354740
801,4811877
802,32340609
803,15331614
804,32863070
805,24463444
806,12182388
807,28185716
808,16146453
809,8025041
810,16952588
811,14778744
812,20441499
813,19675519
814,28592786
815,12364936
816,17322991
817,3363019
818,2002383
819,16485013
820,3901753
821,30027016
822,2313524
823,24403263
824,21112456
825,32920736
826,30115096
827,16570563
828,23057026
829,29627011
830,18403560
831,28689591
832,25568755
833,14759479
834,22953285
835,27139457
836,16284975
837,25398064
838,21895858
839,34888482
840,12454112
841,1423214
842,8180440
843,26745253
844,27899031
845,20099727
846,8906666
847,29766135
848,18687084
849,11280898
850,22000830
851,27436273
852,12218188
853,25116418
854,15531341
855,17270660
856,26919911
857,27197992
858,15105647
859,21040844
860,25632417
861,33791233
862,23127084
863,28340841
864,11274848
865,21041710
866,34956798
867,25861840
868,2993976
869,16554245
870,27466523
871,22782487
872,27417088
873,23060033
874,30357080
875,16391368
876,15351253
877,23304618
878,33587810
879,30106357
880,10793162
881,26802024
882,26591698
883,25726410
884,28189277
885,16684080
886,7643354
887,12855307
888,19566915
889,12721684
890,16506356
891,1869939
892,19846889
893,22071400
894,29718822
895,26493673
896,22018313
897,24136134
898,33976564
899,17225119
900,24899229
901,32570978
902,15637141
903,26380745
904,33325147
905,6299550
906,20807888
907,34828665
908,29208005
909,25949903
910,26678435
911,23237497
912,11339395
913,32013026
914,24139869
915,31783809
916,10368454
917,24089907
918,6025229
919,28076863
920,19370491
921,19089494
922,25454618
923,24372769
924,31624596
925,21378087
926,10090887
927,21698648
928,27411907
929,24371154
930,24935270
931,6498739
932,27848137
933,6508090
934,23025966
935,21442659
936,22161931
937,8229711
938,9926735
939,1858969
940,33869986
941,12788867
942,2297997
943,8066655
944,6837880
945,29213221
946,11184988
947,21374666
948,16078816
949,11926379
950,33987535
951,23425232
952,34953756
953,23883968
954,15311559
955,29270166
956,32712403
957,15464551
958,15311857
959,15324400
960,34381571
961,20021608
962,32994880
963,9823347
964,18514777
965,29945675
966,8474019
967,11886919
968,11432964
969,16288137
970,8165985
971,23539269
972,26932867
973,28960809
974,25590398
975,22358384
976,15262836
977,974993
978,34327774
979,11117974
980,32723731
981,33445434
982,20861499
983,30798817
984,15122554
985,30159175
986,11213984
987,32879740
988,21911034
989,29634878
990,21410111
991,28397696
992,27115378
993,19606014
994,14522861
995,16500213
996,20694464
997,29030789
998,9866769
999,30151240
1000,18446176
1001,3608599
1002,10422805
1003,23248782
1004,13523006
1005,18817553
1006,19884464
1007,20432976
1008,26780448
1009,2434808
1010,27192506
1011,34508579
1012,16055882
1013,29163631
1014,14764764
1015,27609722
1016,24795429
1017,18201936
1018,34475656
1019,30868042
1020,12358248
1021,9789441
1022,26639966
1023,19447368
1024,34459275
1025,22537133
1026,8242938
1027,26373316
1028,33376386
1029,16360489
1030,17715409
1031,10633518
1032,20806078
1033,27040324
1034,17085008
1035,24527062
1036,24423180
1037,9843209
1038,25961848
1039,29118892
1040,23692864
1041,1869648
1042,15864212
1043,9428460
1044,15729238
1045,34123356
1046,25170929
1047,21490997
1048,23932416
1049,25237200
1050,28277102
1051,9227932
1052,16324178
1053,26124278
1054,4063599
1055,18981291
1056,18287387
1057,15380499
1058,25002953
1059,25476174
1060,28989929
1061,26365141
1062,21465231
1063,25632209
1064,28133269
1065,27118594
1066,10082040
1067,25142792
1068,28620552
1069,16967251
1070,25453460
1071,18412598
1072,12050338
1073,23504304
1074,33494237
1075,34602603
1076,30756088
1077,28353560
1078,32966926
1079,19064683
1080,33364712
1081,30742620
1082,2785790
1083,34603725
1084,26231188
1085,24401022
1086,11191931
1087,33190360
1088,23751325
1089,30275994
1090,1672268
1091,22521272
1092,24446952
1093,24729264
1094,30906603
1095,16935332
1096,23842975
1097,29538730
1098,18443516
1099,32476232
1100,25047929
1101,32052622
1102,26542166
1103,29183305
1104,29575060
1105,29621775
1106,26909301
1107,29938230
1108,27257146
1109,19075372
1110,15155855
1111,25820632
1112,22942857
1113,26690506
1114,24747340
1115,21768432
1116,29936259
1117,25444107
1118,34556982
1119,17098886
1120,29636979
1121,28620835
1122,32671309
1123,30071895
1124,20978018
1125,6876194
1126,30421647
1127,17273969
1128,16997046
1129,29590342
1130,10422035
1131,34603207
1132,28460824
1133,4841585
1134,31396114
1135,34654380
1136,20095788
1137,24121169
1138,33427959
1139,30729058
1140,15087508
1141,28092783
1142,29564080
1143,16458966
1144,23662975
1145,34606729
1146,24224623
1147,31863236
1148,16774593
1149,28750278
1150,23620168
1151,20495065
1152,24037963
1153,23590935
1154,27540556
1155,22271579
1156,27895055
1157,33778750
1158,28919229
1159,10921521
1160,26780206
1161,34644193
1162,28364009
1163,15234126
1164,25293680
1165,24282217
1166,15997870
1167,26074714
1168,22103047
1169,26761478
1170,28901842
1171,34812299
1172,28197205
1173,21092187
1174,28276820
1175,29212484
1176,15631370
1177,18280094
1178,30642317
1179,8058012
1180,31051112
1181,33943038
1182,14614681
1183,17561571
1184,24566980
1185,17579989
1186,25674377
1187,34539371
1188,17697108
1189,24251839
1190,8631025
1191,420638
1192,25833724
1193,23991644
1194,28344164
1195,11284689
1196,1890158
1197,10344653
1198,25250120
1199,27575269
1200,30246738
1201,24450690
1202,11528313
1203,6726389
1204,29720485
1205,23971774
1206,34089379
1207,24034398
1208,24862670
1209,18204094
1210,9515441
1211,10534638
1212,25239053
1213,20568106
1214,20833943
1215,6694799
1216,25263273
1217,10792318
1218,24680026
1219,20938758
1220,8530936
1221,16297091
1222,31584861
1223,28386394
1224,8986671
1225,1992414
1226,4140487
1227,27536624
1228,7715646
1229,29856320
1230,12021981
1231,33549127
1232,9458068
1233,22941173
1234,24518837
1235,18359115
1236,20605390
1237,31940357
1238,17126257
1239,27873099
1240,9021563
1241,11897814
1242,28382967
1243,16306358
1244,20949329
1245,31355028
1246,23247304
1247,26634125
1248,25444412
1249,33494318
1250,11158890
1251,29222377
1252,25517951
1253,15253190
1254,21309030
1255,24088041
1256,14197677
1257,31597347
1258,12475869
1259,29991499
1260,3246115
1261,24890303
1262,30633211
1263,1996038
1264,22442078
1265,25511015
1266,9055286
1267,3296101
1268,19010763
1269,20833333
1270,32384470
1271,15793406
1272,34527356
1273,26334087
1274,14586859
1275,19617748
1276,29761333
1277,19448636
1278,24055916
1279,26980727
1280,21502576
1281,25738235
1282,29258946
1283,27292585
1284,18582992
1285,9818862
1286,1538468
1287,26221350
1288,34284830
1289,24462025
1290,30620668
1291,17240289
1292,27384162
1293,32640746
1294,23835535
1295,12652193
1296,23860989
1297,22071816
1298,26712084
1299,15694948
1300,23559409
1301,25988862
1302,25745975
1303,22548072
1304,26070243
1305,2076245
1306,27574614
1307,28456055
1308,25037083
1309,28321003
1310,29123747
1311,24600119
1312,11081809
1313,17295642
1314,31064327
1315,8294681
1316,21459944
1317,25732403
1318,20152562
1319,26977696
1320,19092320
1321,23647748
1322,21757170
1323,10844336
1324,22939059
1325,22874472
1326,22887750
1327,9388056
1328,8651312
1329,28374231
1330,32039082
1331,12709740
1332,22072439
1333,19318917
1334,34440332
1335,29475168
1336,10808012
1337,34477176
1338,23225938
1339,17371476
1340,11369377
1341,27429161
1342,24506978
1343,23175486
1344,26506841
1345,33530403
1346,2663049
1347,26027431
1348,14576051
1349,23616268
1350,8841182
1351,27330573
1352,19767509
1353,4908746
1354,34679434
1355,19671655
1356,25320526
1357,26977102
1358,20497287
1359,17214728
1360,1384444
1361,23519317
1362,4793007
1363,21542062
1364,19190755
1365,17503029
1366,23323867
1367,13042090
1368,10511523
1369,697430
1370,25279044
1371,9524120
1372,14685938
1373,22111882
1374,31692910
1375,2237900
1376,30567163
1377,27449958
1378,27641243
1379,7754629
1380,12957394
1381,32984526
1382,19000060
1383,7224933
1384,19839900
1385,26726842
1386,11005901
1387,20511282
1388,10362092
1389,28552862
1390,27899578
1391,11112658
1392,15767533
1393,12457340
1394,12873797
1395,26304923
1396,18384413
1397,13159777
1398,22889154
1399,31289790
1400,8647987
1401,27809213
1402,22796790
1403,7877651
1404,26486192
1405,22237781
1406,28552382
1407,31489568
1408,29772759
1409,22663011
1410,23216012
1411,26503657
1412,27325852
1413,11108925
1414,22960976
1415,21198563
1416,28668408
1417,8486939
1418,24516275
1419,24936323
1420,23587279
1421,17051106
1422,20213478
1423,20506139
1424,15927244
1425,29770931
1426,28729832
1427,15925662
1428,20595690
1429,24079523
1430,15632034
1431,25497598
1432,23850314
1433,23943738
1434,15215166
1435,31321106
1436,17993731
1437,23977611
1438,22717980
1439,21691263
1440,11743385
1441,27091480
1442,29208948
1443,20676909
1444,12624789
1445,29479337
1446,29934652
1447,21107087
1448,13671378
1449,21467906
1450,10825042
1451,24285300
1452,1866153
1453,29974008
1454,15676628
1455,12957099
1456,32358202
1457,25172081
1458,19699931
1459,8355846
1460,23978669
1461,34488260
1462,24690146
1463,17066644
1464,26492181
1465,7863994
1466,32999791
1467,28042550
1468,28990680
1469,19243343
1470,17494511
1471,31849949
1472,29150700
1473,19838993
1474,27352750
1475,24682981
1476,24336230
1477,32397115
1478,17601770
1479,31722735
1480,19781911
1481,8010551
1482,25109715
1483,22006582
1484,15120817
1485,10820359
1486,33134418
1487,7058574
1488,28777700
1489,9060583
1490,23794651
1491,29920620
1492,29607049
1493,26354838
1494,11888964
1495,34273966
1496,19590853
1497,11007036
1498,26870174
1499,25499958
1500,33542648
1501,2613324
1502,29097319
1503,18840037
1504,28133816
1505,28449570
1506,11837841
1507,25229338
1508,21393407
1509,19041637
1510,23727310
1511,26067617
1512,29791902
1513,25290534
1514,26789119
1515,15746787
1516,19909894
1517,20636397
1518,14653368
1519,21252687
1520,26771872
1521,23069478
1522,2012163
1523,31641588
1524,16921384
1525,17090187
1526,28529247
1527,24963969
1528,33848360
1529,27085568
1530,25202377
1531,34868785
1532,28513805
1533,32309399
1534,22754121
1535,18850119
1536,22076204
1537,23410821
1538,22052890
1539,6776143
1540,25603483
1541,21593960
1542,9643661
1543,8811383
1544,10333421
1545,22419563
1546,26614685
1547,15894747
1548,2187021
1549,12531928
1550,23372056
1551,20700604
1552,2156771
1553,10892938
1554,25254131
1555,15629831
1556,2117349
1557,27186364
1558,759627
1559,11048809
1560,25791326
1561,11475183
1562,26474185
1563,8614764
1564,29117024
1565,9636842
1566,32173771
1567,23204744
1568,2220671
1569,26032137
1570,9563929
1571,28698005
1572,19577348
1573,27236159
1574,27662533
1575,21087245
1576,5566365
1577,2788466
1578,19389557
1579,23199488
1580,24032382
1581,32495195
1582,25025865
1583,18596924
1584,28465823
1585,30014342
1586,14669098
1587,17685450
1588,25906089
1589,19665067
1590,26682597
1591,3145966
1592,28589286
1593,29774831
1594,26837003
1595,29331556
1596,21031066
1597,24239739
1598,33426764
1599,22496497
1600,33374719
1601,27431483
1602,23928942
1603,28832565
1604,11236777
1605,9989411
1606,29185013
1607,33266310
1608,22788735
1609,25808229
1610,11408758
1611,14871187
1612,24457066
1613,24854376
1614,25873501
1615,27582220
1616,33447730
1617,25809592
1618,11779094
1619,3028602
1620,20171360
1621,26026861
1622,7388763
1623,27543157
1624,34663476
1625,29473832
1626,25957548
1627,19361636
1628,27815231
1629,8849962
1630,21917162
1631,26785127
1632,15753638
1633,19726767
1634,24298544
1635,16000430
1636,30594158
1637,26763069
1638,27790528
1639,24353162
1640,11573047
1641,11469344
1642,7727668
1643,20559471
1644,18769927
1645,22033941
1646,27590121
1647,20963329
1648,30930948
1649,33287847
1650,20724432
1651,29863129
1652,30363314
1653,26135374
1654,22963021
1655,24980937
1656,16695593
1657,27163355
1658,16633003
1659,34211903
1660,11496176
1661,26443607
1662,22053231
1663,22038996
1664,19181598
1665,27992785
1666,24174537
1667,26763514
1668,32161488
1669,27271711
1670,8833293
1671,21422387
1672,26633545
1673,34377485
1674,12393647
1675,24725224
1676,26918468
1677,11805770
1678,7728846
1679,34571931
1680,26195838
1681,25908683
1682,23887202
1683,21780251
1684,27686224
1685,25250780
1686,29040023
1687,16125261
1688,24824628
1689,25258328
1690,26984070
1691,17951948
1692,9711912
1693,8094424
1694,31133775
1695,34066119
1696,28043956
1697,15492756
1698,4965836
1699,20677989
1700,27324557
1701,20824037
1702,12456500
1703,12138150
1704,30704409
1705,24599767
1706,24252267
1707,26163888
1708,8580568
1709,12476236
1710,18215316
1711,29021377
1712,19509175
1713,20419965
1714,27056293
1715,25906201
1716,32123664
1717,14201182
1718,9286296
1719,9362139
1720,28917389
1721,15466904
1722,27288924
1723,18511865
1724,22470877
1725,11550866
1726,12767750
1727,34924855
1728,25763089
1729,10381496
1730,26306436
1731,21339202
1732,24265052
1733,8908789
1734,21428747
1735,14712998
1736,16325705
1737,32190489
1738,17080517
1739,28587626
1740,33025384
1741,31805753
1742,16427494
1743,21546071
1744,18553121
1745,29696024
1746,17125524
1747,18491438
1748,25060718
1749,22301347
1750,22718547
1751,8295249
1752,22717378
1753,28939718
1754,22644679
1755,25207658
1756,12857710
1757,24884607
1758,15725586
1759,27165050
1760,28426767
1761,32399214
1762,30546847
1763,33134916
1764,25910988
1765,16807994
1766,10888974
1767,32612802
1768,473026
1769,19660749
1770,28054292
1771,29615394
1772,33722163
1773,25187723
1774,23932531
1775,18214637
1776,23955668
1777,1999636
1778,21869746
1779,24732905
1780,26942024
1781,11902539
1782,29394264
1783,2760427
1784,32626516
1785,29484512
1786,20024888
1787,11185706
1788,25620901
1789,12184522
1790,21928426
1791,18755486
1792,4812027
1793,29030359
1794,12846501
1795,24174329
1796,10660033
1797,30377430
1798,6732496
1799,10910186
1800,23215555
1801,15575914
1802,24908143
1803,15146186
1804,27884751
1805,24554416
1806,20825655
1807,1625013
1808,29984012
1809,34976263
1810,22751495
1811,12023180
1812,8909203
1813,23165304
1814,19211055
1815,24833911
1816,1474471
1817,22927469
1818,27197213
1819,28100992
1820,33803466
1821,27699270
1822,12728970
1823,27601841
1824,17460447
1825,22821690
1826,27579105
1827,31890562
1828,16431000
1829,26717890
1830,22366783
1831,27620909
1832,30509697
1833,18153912
1834,14402173
1835,28924002
1836,10625842
1837,25164764
1838,26884585
1839,24129367
1840,27239898
1841,24715559
1842,7827639
1843,15619313
1844,27014553
1845,11380300
1846,21038023
1847,8605281
1848,30864509
1849,26200946
1850,29341235
1851,26802297
1852,15647436
1853,32110218
1854,22999069
1855,25536053
1856,8960747
1857,12857054
1858,23780581
1859,34475822
1860,11429179
1861,24011539
1862,20380623
1863,27879974
1864,23724961
1865,16934732
1866,4006760
1867,7611298
1868,11527032
1869,9627291
1870,30299307
1871,15823680
1872,32432146
1873,28444784
1874,27377423
1875,9094026
1876,23749797
1877,26325558
1878,16950522
1879,16938456
1880,23359050
1881,29595810
1882,31762942
1883,23129836
1884,33731071
1885,27092334
1886,23311386
1887,25342347
1888,27041174
1889,28819533
1890,24264471
1891,28191175
1892,19344825
1893,22505591
1894,30675407
1895,20693883
1896,26722311
1897,15790717
1898,28949767
1899,6503364
1900,30003113
1901,22188911
1902,20393410
1903,12967496
1904,18158176
1905,11391370
1906,32934874
1907,28439579
1908,15633081
1909,29564834
1910,20809729
1911,27226904
1912,498022
1913,16445657
1914,21660670
1915,26820289
1916,1812259
1917,21668957
1918,26012492
1919,25965569
1920,25714935
1921,7604420
1922,30100909
1923,29066903
1924,30185627
1925,15494422
1926,17264779
1927,23139554
1928,20724309
1929,5793852
1930,22181336
1931,26306937
1932,26695755
1933,25877855
1934,33622862
1935,8544184
1936,27511158
1937,34630692
1938,28174636
1939,27219238
1940,15205860
1941,20399455
1942,1775229
1943,10750731
1944,23563826
1945,22020998
1946,25535063
1947,16007635
1948,27153583
1949,14575632
1950,22771167
1951,20444860
1952,34140924
1953,1580589
1954,33875716
1955,16239102
1956,18682513
1957,21442187
1958,32358382
1959,28115719
1960,22956380
1961,8783706
1962,27097005
1963,11696564
1964,26803446
1965,14592342
1966,20713593
1967,28748527
1968,27132696
1969,21430775
1970,11476686
1971,2764605
1972,32698354
1973,15091521
1974,21326756
1975,6803641
1976,2802979
1977,13919680
1978,33670088
1979,33313968
1980,14632784
1981,22541658
1982,32429850
1983,22784325
1984,25690258
1985,28640701
1986,22379608
1987,19404231
1988,34457306
1989,17717539
1990,32399362
1991,21658029
1992,33882917
1993,26395816
1994,17002605
1995,28591231
1996,33854516
1997,19289330
1998,9041211
1999,30410549
2000,23786965
2001,26147821
2002,3607711
2003,9604977
2004,20349881
2005,9214811
2006,34943542
2007,18696182
2008,16922937
2009,17630158
2010,31016084
2011,15685557
2012,18291715
2013,20538785
2014,15103001
2015,25482239
2016,25097791
2017,17487854
2018,28263217
2019,24497495
2020,25932076
2021,31897700
2022,11218303
2023,20236662
2024,23487196
2025,29334853
2026,17361410
2027,28910680
2028,20151980
2029,22036874
2030,27342992
2031,28606950
2032,33042969
2033,24758504
2034,11071481
2035,30386947
2036,3829006
2037,26477635
2038,34620004
2039,25695955
2040,21544079
2041,27606355
2042,25798395
2043,30021595
2044,7978678
2045,20052547
2046,10962161
2047,21953441
2048,29996795
2049,1440767
2050,10454059
2051,17995946
2052,26166429
2053,8365005
2054,23857276
2055,26113588
2056,26027992
2057,30151456
2058,30564293
2059,23968282
2060,29762875
2061,29550598
2062,29219854
2063,3974978
2064,30062935
2065,11071618
2066,22128664
2067,8211676
2068,27758817
2069,10080180
2070,26768810
2071,24642063
2072,28135567
2073,12794167
2074,34764413
2075,27065946
2076,17932892
2077,12539063
2078,7977571
2079,29351245
2080,19010416
2081,21537075
2082,11242894
2083,12118790
2084,24243641
2085,19041539
2086,18579421
2087,22405251
2088,31595628
2089,16785789
2090,23593680
2091,27790133
2092,15684121
2093,2011243
2094,20426592
2095,30258663
2096,33105645
2097,10419371
2098,16143192
2099,25593323
2100,2685149
2101,24262341
2102,25400992
2103,27206819
2104,34356830
2105,29344789
2106,30167990
2107,19358948
2108,28127482
2109,2420185
2110,18283244
2111,19910232
2112,15333391
2113,34588224
2114,19506899
2115,15509928
2116,28745999
2117,29077650
2118,27874832
2119,19390126
2120,25654177
2121,22986354
2122,21800092
2123,1984909
2124,27209471
2125,27846610
2126,18757886
2127,7062778
2128,21675970
2129,12487195
2130,10795065
2131,20824451
2132,17628786
2133,29553066
2134,19414839
2135,29974027
2136,6851799
2137,5489293
2138,29760538
2139,19443103
2140,24725238
2141,34571731
2142,30574522
