,article
333,25371777
334,28508244
335,27330803
336,27841128
337,23271885
338,25515026
339,29492219
340,28298969
341,28217220
342,28832791
343,30142811
344,25637090
345,27814690
346,19644540
347,25992232
348,29151505
349,21042429
350,27257447
351,26880181
352,28607873
353,27247554
354,21228919
355,28611314
356,29453164
357,17408482
358,23590585
359,25309126
360,23941404
361,26425724
362,30138374
363,27257448
364,26157846
365,29166400
366,26657971
367,21333204
368,11811688
369,20737145
370,29546030
371,25862216
372,27807396
373,25200064
374,26157883
375,28785404
376,27959260
377,22758622
378,26120323
379,17565380
380,27015272
381,27330885
382,27041856
383,20730538
384,26261394
385,30008661
386,27051725
387,23802063
388,27864317
389,28239478
390,29537383
391,30197663
392,23346273
393,20530205
394,27400713
395,24587867
396,26017757
397,30165864
398,29529542
399,26184437
400,29474356
401,22970063
402,28385781
403,25875629
404,24811411
405,23300794
406,25302025
407,28086947
408,28507764
409,25700315
410,23560120
411,28538892
412,23617811
413,25360430
414,28331334
415,18214198
416,23820394
417,30533300
418,24881072
419,29021959
420,23208313
421,26511941
422,30109168
423,16707051
424,18655700
425,27918742
426,28163694
427,25013406
428,21214933
429,21952622
430,24633664
431,24459513
432,23095469
433,24065898
434,27044378
435,16859504
436,18258087
437,24557582
438,25679002
439,24971029
440,27047378
441,30013503
442,29991888
443,25881845
444,29444706
445,29419676
446,28416734
447,28680630
448,27716216
449,28808627
450,27807568
451,26114594
452,29628928
453,27445867
454,26511934
455,17561571
456,25922081
457,26239457
458,20008522
459,23943715
460,17895895
461,23665959
462,30742620
463,29701642
464,26031524
465,26181571
466,29556472
467,22840473
468,29564416
469,29925834
470,24578925
471,29152552
472,26535087
473,29700786
474,26929666
475,26952551
476,29641572
477,30498574
478,27957244
479,23614005
480,28937049
481,27725546
482,28435217
483,22495311
484,22021730
485,29390408
486,29093678
487,28473912
488,21092187
489,28809922
490,25278775
491,28459886
492,25755962
493,27836994
494,26172269
495,27438846
496,24529027
497,27992434
498,24884982
499,25231432
500,27510467
501,26565381
502,26744664
503,28784937
504,27301374
505,28626190
506,24325825
507,25128482
508,16942393
509,25999800
510,26015880
511,13985244
512,26426646
513,28099316
514,25973397
515,23409050
516,20233678
517,26317497
518,18202831
519,16989669
520,26064810
521,30557382
522,25759760
523,29244021
524,17561570
525,27010204
526,28506255
527,25544268
528,21486468
529,25966940
530,25419155
531,19909553
532,28405168
533,26258845
534,25121077
535,23113059
536,28152039
537,20003257
538,28741029
539,22848613
540,27033424
541,29285213
542,26973724
543,26632723
544,25513813
545,15890134
546,8349732
547,23618408
548,19641245
549,26076878
550,17288304
551,27256292
552,27774772
553,23667635
554,24318124
555,29420601
556,10780513
557,29852423
558,20062592
559,24885109
560,29333262
561,26855782
562,25717451
563,29606893
564,27928230
565,20525256
566,19480580
567,20422276
568,25906106
569,24948961
570,11506484
571,20920276
572,23555663
573,21448327
574,23131212
575,20309394
576,28903361
577,24460893
578,23713523
579,27472273
580,23743381
581,25918561
582,29464152
583,22460392
584,25245125
585,27342689
586,29713355
587,25506582
588,27398229
589,20156335
590,24009789
591,26794659
592,27290639
593,24451410
594,27660707
595,25689425
596,28717730
597,15714667
598,26107512
599,11901200
600,29913431
601,29145106
602,24649461
603,28368383
604,26180607
605,22570746
606,29163631
607,28783523
608,19515234
609,29225265
610,30083306
611,27843568
612,26612854
613,28382187
614,30595621
615,6331484
616,27398186
617,17561987
618,24800748
619,27858759
620,26367424
621,19087331
622,16932998
623,21602792
624,29327071
625,22017761
626,28855991
627,29046676
628,24349229
629,27901281
630,28814069
631,21031162
632,29417954
633,22623812
634,29454353
635,27896253
636,27437717
637,29723202
638,25979631
639,26713307
640,28983798
641,17164017
642,29535832
643,28870241
644,29505026
645,29593675
646,26816572
647,29744175
648,25354965
649,24002356
650,30197970
651,28090227
652,25054739
653,28943552
654,18811966
655,29368649
656,27055255
657,22413934
658,18757886
659,28488368
660,28620373
661,26955411
662,29142653
663,28105348
664,23226338
665,16549957
666,29067222
667,26657901
668,26047509
669,23781138
670,27603009
671,26504875
672,21705770
673,28693511
674,30140036
675,21909392
676,25780412
677,19228413
678,27412504
679,27777894
680,18382669
681,25207658
682,25175056
683,29937874
684,25092954
685,28265893
686,28811916
687,23847432
688,19642973
689,30151477
690,18046912
691,28379160
692,23497546
693,28970731
694,24602325
695,19331769
696,27192516
697,21152057
698,20063969
699,26509073
700,28194242
701,24784571
702,21590448
703,19333369
704,23533214
705,29387658
706,25548903
707,27925577
708,28209203
709,25122144
710,25894561
711,27867935
712,28443190
713,20840779
714,23983039
715,27011217
716,18279513
717,23525082
718,27307916
719,27215576
720,21573213
721,24578692
722,23236283
723,27744661
724,25351358
725,23662090
726,24970577
727,22905266
728,27592289
729,28959504
730,27765923
731,20691420
732,16764711
733,29050314
734,25865875
735,22978266
736,29390350
737,28150151
738,29128312
739,29564080
740,28712283
741,22388996
742,29137118
743,25048482
744,18374680
745,28725562
746,29843679
747,27398819
748,22584717
749,26161211
750,29261148
751,27527865
752,16451846
753,25360483
754,29312215
755,28533665
756,21460454
757,28249832
758,25789476
759,16001071
760,29536032
761,28283832
762,25816005
763,26593951
764,12533285
765,23268454
766,30559562
767,26203280
768,22323846
769,25820974
770,28490364
771,26543786
772,26713309
773,29524855
774,21092272
775,24386923
776,19331732
777,25663591
778,29980238
779,19668577
780,27367478
781,28107815
782,16162033
783,27092334
784,24944882
785,25501052
786,27229175
787,25206870
788,28886115
789,26236620
790,29867916
791,29518976
792,27920543
793,28372342
794,21050479
795,24833897
796,29100362
797,21274329
798,26136118
799,28415157
800,24362818
801,25284978
802,26011733
803,28769861
804,25215212
805,28348711
806,22035445
807,25881600
808,22541136
809,28119940
810,24207006
811,26446658
812,27116665
813,26124628
814,25075215
815,24205233
816,29599604
817,27585976
818,28994389
819,26122175
820,30361506
821,23451077
822,29523832
823,17892568
824,21240275
825,24950705
826,29564225
827,23940723
828,24062675
829,19891792
830,19755994
831,27391896
832,18629354
833,25642262
834,28018249
835,23184516
836,26545093
837,29879927
838,23874563
839,26667418
840,24552606
841,26667666
842,29384897
843,19398592
844,25648625
845,26679344
846,26666305
847,25943354
848,24604757
849,24623992
850,24643319
851,24356988
852,22906342
853,28785696
854,18490949
855,25932032
856,21617752
857,26124084
858,28510580
859,27067427
860,24392162
861,27176622
862,29280395
863,24404389
864,29038598
865,24603685
866,24512546
867,24744674
868,28828128
869,20302644
870,21909334
871,29045429
872,25880588
873,29851815
874,24312711
875,28413162
876,26293582
877,26516394
878,23785301
879,28423088
880,15554285
881,20644724
882,29270171
883,20929538
884,23396310
885,27004414
886,24790386
887,28567008
888,27213856
889,28270193
890,25714217
891,30755852
892,26056082
893,28105351
894,22919661
895,29180925
896,9703491
897,25986173
898,21998762
899,21738881
900,28144610
901,24642065
902,23536781
903,26412892
904,29223010
905,23861770
906,23516361
907,20182716
908,26009888
909,26888067
910,26336482
911,23343366
912,20584320
913,25830630
914,27761250
915,23056544
916,27548235
917,24433494
918,28209134
919,22187615
920,27829447
921,22076204
922,29392096
923,22129905
924,26879161
925,29390386
926,22496660
927,20096093
928,23557386
929,27405336
930,25889308
931,27774260
932,28774324
933,29795307
934,17311467
935,27172898
936,29334918
937,30630537
938,29703165
939,28954035
940,21208974
941,26560205
942,18274842
943,25990110
944,27668173
945,24783898
946,30562353
947,23904473
948,26847312
949,28163705
950,28025573
951,28130574
952,27978846
953,25239053
954,24917550
955,27050425
956,27766043
957,26525086
958,28369146
959,26303087
960,23587203
961,26888176
962,27209066
963,27618896
964,27191652
965,27141494
966,24829594
967,30352550
968,27542597
969,29760538
970,27124022
971,25324978
972,21369361
973,27398323
974,22241902
975,21034511
976,29595679
977,22479431
978,20844759
979,22703877
980,25885855
981,29449575
982,23876309
983,16485488
984,29147192
985,28445267
986,30157897
987,24210089
988,28545566
989,23351253
990,23222681
991,25526480
992,29018798
993,24625089
994,24759409
995,24423180
996,28713532
997,25536053
998,21529401
999,25093857
1000,8903167
1001,26554728
1002,19582158
1003,24009903
1004,28848725
1005,19123935
1006,29065182
1007,23843703
1008,17331235
1009,12631394
1010,26178400
1011,20667122
1012,29742700
1013,22586505
1014,27815845
1015,25671606
1016,25963406
1017,23642161
1018,26622973
1019,28592786
1020,29724224
1021,22891276
1022,27999664
1023,25242527
1024,19788806
1025,27162540
1026,15084238
1027,27723896
1028,28569161
1029,28659154
1030,29267233
1031,25895118
1032,26431696
1033,21695106
1034,30155780
1035,28566604
1036,25054656
1037,24932477
1038,27526321
1039,24983277
1040,26114125
1041,20234830
1042,15904504
1043,29760445
1044,29171280
1045,29196612
1046,21373322
1047,25378951
1048,15967038
1049,30622372
1050,28461957
1051,25563241
1052,28979095
1053,27621835
1054,28966613
1055,28220105
1056,19445730
1057,24790917
1058,28082815
1059,28481884
1060,19954553
1061,25372548
1062,26503902
1063,27196694
1064,19851473
1065,29429045
1066,25249269
1067,21915121
1068,28262755
1069,15904505
1070,29590163
1071,27768046
1072,29788687
1073,29907143
1074,16444292
1075,30521525
1076,29623596
1077,28203512
1078,28443154
1079,29245220
1080,29695863
1081,26239685
1082,16807994
1083,22853821
1084,25518034
1085,27508227
1086,17266837
1087,22318812
1088,27723096
1089,28296773
1090,19169254
1091,28727732
1092,29867613
1093,25394715
1094,24472660
1095,28073376
1096,24499291
1097,25889870
1098,28855823
1099,18258035
1100,29593376
1101,29703031
1102,24083566
1103,28800070
1104,16381377
1105,28105019
1106,24625421
1107,29697455
1108,27631259
1109,23232048
1110,29623197
1111,25946187
1112,29037259
1113,25958001
1114,28464908
1115,26735523
1116,23025326
1117,29284472
1118,24887155
1119,19798503
1120,24210012
1121,24447578
1122,25393221
1123,22126402
1124,25003051
1125,28143449
1126,17407387
1127,18583880
1128,25999724
1129,23771511
1130,25279520
1131,18573222
1132,28930831
1133,25609909
1134,28947639
1135,29607049
1136,27537560
1137,27809908
1138,30648042
1139,29520092
1140,28180009
1141,19366447
1142,29670616
1143,29390549
1144,18044055
1145,24124732
1146,29556211
1147,26405491
1148,18392515
1149,22926463
1150,26881790
1151,9763602
1152,27857527
1153,28129781
1154,24096642
1155,24040232
1156,30745800
1157,7595207
1158,24171835
1159,26587082
1160,21206767
1161,28144701
1162,25565883
1163,29237413
1164,23301006
1165,28134622
1166,17640391
1167,27797979
1168,27965920
1169,29138197
1170,28977057
1171,28649549
1172,28701730
1173,27899787
1174,28293379
1175,24846747
1176,26823931
1177,26793448
1178,18236119
1179,28098550
1180,24146895
1181,30181994
1182,24396428
1183,22211093
1184,10027323
1185,16943915
1186,25046180
1187,26347746
1188,23243085
1189,22862803
1190,18380889
1191,24966690
1192,26573028
1193,20049711
1194,27127621
1195,25153074
1196,28267146
1197,19450285
1198,30386259
1199,25739078
1200,26622287
1201,25384343
1202,29540487
1203,19534830
1204,26376676
1205,25674105
1206,28751878
1207,29533019
1208,27853381
1209,25834365
1210,29983887
1211,25792358
1212,17164992
1213,29211048
1214,22489151
1215,29019312
1216,25177363
1217,20857106
1218,19019215
1219,22134511
1220,28943907
1221,17587443
1222,26225286
1223,20224959
1224,30572488
1225,24904840
1226,27809769
1227,26424680
1228,29074563
1229,23849773
1230,28407785
1231,29321440
1232,26976612
1233,29455650
1234,22952776
1235,30513656
1236,22915863
1237,26235669
1238,23894335
1239,19636637
1240,28989567
1241,27558589
1242,26251455
1243,28886018
1244,28217303
1245,22257431
1246,26376385
1247,15826316
1248,20046230
1249,21519485
1250,25344295
1251,27555793
1252,26596371
1253,24164192
1254,28983445
1255,26715572
1256,30078964
1257,23974870
1258,25758528
1259,21771323
1260,24647965
1261,30621282
1262,22918376
1263,23599727
1264,29026317
1265,29541292
1266,17184555
1267,26796772
1268,23088170
1269,29282149
1270,19936296
1271,19788801
1272,27313735
1273,29503650
1274,9862574
1275,23024731
1276,27408782
1277,16584569
1278,29483893
1279,28887729
1280,24327174
1281,29233255
1282,28898799
1283,25233461
1284,29571295
1285,29509614
1286,21611067
1287,15141377
1288,29770119
1289,22549408
1290,30468431
1291,22514568
1292,28577366
1293,24834212
1294,9876684
1295,29201988
1296,25160568
1297,28357053
1298,26442238
1299,28288660
1300,25710373
1301,28086881
1302,26716894
1303,24591848
1304,25888953
1305,30123240
1306,19212477
1307,23902680
1308,25591568
1309,24668209
1310,25642404
1311,29535312
1312,29254220
1313,28361118
1314,19333649
1315,19707408
1316,26932524
1317,29162642
1318,29375552
1319,27184910
1320,26822327
1321,30717476
1322,16538219
1323,28968976
1324,24192137
1325,19444368
1326,23493291
1327,23558531
1328,25870626
1329,25241936
1330,16722569
1331,28503341
1332,25527165
1333,28846946
1334,30635002
1335,27662471
1336,28352820
1337,29433523
1338,22220257
1339,20158883
1340,27768763
1341,30671338
1342,21383941
1343,27612425
1344,25284974
1345,19337443
1346,26503461
1347,29041973
1348,28982046
1349,30522520
1350,28794797
1351,25601104
1352,29788981
1353,29696069
1354,29093386
1355,28538681
1356,26696805
1357,25419161
1358,26484304
1359,13525581
1360,25114590
1361,30237975
1362,24691919
1363,25799046
1364,25993328
1365,21966448
1366,22866665
1367,8064236
1368,28640798
1369,19924273
1370,26874788
1371,28288170
1372,28035291
1373,27600455
1374,21359622
1375,27559462
1376,25798682
1377,19067118
1378,15812477
1379,25569662
1380,28018804
1381,29189288
1382,18507917
1383,17254323
1384,23584084
1385,29861862
1386,26976016
1387,28515744
1388,26124954
1389,28965085
1390,29425193
1391,22396802
1392,24579040
1393,25099252
1394,28680393
1395,3814476
1396,29381772
1397,27547054
1398,28006828
1399,27421858
1400,24950717
1401,26368816
1402,28090042
1403,22924099
1404,29094067
1405,29230210
1406,26793542
1407,19707587
1408,26109117
1409,27847794
1410,27409505
1411,25960819
1412,27708981
1413,28122604
1414,28141799
1415,29933231
1416,23408483
1417,27602101
1418,24187505
1419,24336217
1420,16318699
1421,29176969
1422,23216941
1423,24368887
1424,25120957
1425,28617436
1426,25324876
1427,27609179
1428,19442295
1429,30648088
1430,28538386
1431,18030505
1432,27350839
1433,29946347
1434,28489853
1435,24770496
1436,25045278
1437,23015983
1438,29310349
1439,24353967
1440,29744052
1441,23770774
1442,24369725
1443,29450393
1444,18293182
1445,26695744
1446,24348787
1447,26900328
1448,26666205
1449,28283808
1450,26909245
1451,30002323
1452,29682446
1453,25887349
1454,24069336
1455,19104657
1456,26088861
1457,27777756
1458,22860137
1459,28274109
1460,24713787
1461,27785075
1462,26095437
1463,22605972
1464,18234728
1465,19602252
1466,11051188
1467,23825025
1468,30627970
1469,24758294
1470,28792952
1471,29079599
1472,28560304
1473,21599936
1474,28225979
1475,26741492
1476,22470233
1477,12659663
1478,26499189
1479,24552239
1480,25426446
1481,26421930
1482,25368724
1483,24058807
1484,30038687
1485,18680646
1486,27463810
1487,26759155
1488,23848217
1489,23322977
1490,23185740
1491,22651223
1492,28423125
1493,21781329
1494,28355256
1495,19457253
1496,18478057
1497,29393845
1498,28948117
1499,27696107
1500,28733605
1501,27218019
1502,21807601
1503,24348587
1504,25125236
1505,21694904
1506,29926815
1507,24015197
1508,29390318
1509,24872723
1510,29276673
1511,23998441
1512,25525480
1513,26106281
1514,26758673
1515,21643920
1516,29445300
1517,28403147
1518,27955684
1519,27907819
1520,28591378
1521,26120502
1522,18805839
1523,25624880
1524,19922627
1525,21811900
1526,25519466
1527,21091269
1528,25674170
1529,29371581
1530,18612426
1531,23210503
1532,29334816
1533,28430103
1534,28732492
1535,21961884
1536,28669118
1537,30228860
1538,27666676
1539,28246088
1540,21642044
1541,23777752
1542,14678568
1543,21651732
1544,27706225
1545,30532586
1546,27532112
1547,20164920
1548,27298314
1549,26059796
1550,27468402
1551,20596995
1552,22708041
1553,29333067
1554,23335971
1555,27722056
1556,18822153
1557,21887305
1558,29440628
1559,18772890
1560,26630268
1561,28288180
1562,19468474
1563,28722481
1564,25999688
1565,21970882
1566,22355306
1567,28536577
1568,11795767
1569,27556016
1570,26859076
1571,22768050
1572,27977604
1573,28536417
1574,29707111
1575,28103311
1576,29240811
1577,28868471
1578,29491344
1579,22837856
1580,24310318
1581,19194561
1582,24713761
1583,25501010
1584,24803843
1585,28144147
1586,22490226
1587,29238187
1588,19190755
1589,23242192
1590,25260802
1591,29482518
1592,26822383
1593,28458462
1594,28163299
1595,20821343
1596,27447865
1597,28442746
1598,14583757
1599,27546992
1600,25034586
1601,23888237
1602,20171550
1603,19523210
1604,749356
1605,28490886
1606,29644314
1607,25435998
1608,20862453
1609,24478818
1610,29184912
1611,27688723
1612,27957425
1613,25165569
1614,26816500
1615,26474185
1616,29588966
1617,23439397
1618,26175572
1619,30090177
1620,12221072
1621,24405719
1622,25644490
1623,27421244
1624,27924424
1625,27697696
1626,27703394
1627,28331629
1628,24348042
1629,27489762
1630,27468233
1631,25705146
1632,20721567
1633,30386299
1634,25247163
1635,20808806
1636,28781868
1637,29148534
1638,19503597
1639,22863113
1640,27239582
1641,19829694
1642,23503957
1643,28260916
1644,25568538
1645,19936121
1646,23450678
1647,29690558
1648,29732356
1649,24009428
1650,11961319
1651,26864360
1652,28860792
1653,29696024
1654,26471271
1655,21496287
1656,29466490
1657,23194699
1658,15050029
1659,30201008
1660,29851802
1661,29719632
1662,26474563
1663,29326848
1664,25385447
1665,30455766
1666,23587157
1667,27785103
1668,30580288
1669,27311002
1670,16909134
1671,28458765
1672,25648168
1673,9858507
1674,28725258
1675,28883237
1676,21161733
1677,22358844
1678,29487369
1679,25404259
1680,29922539
1681,21912685
1682,26269456
1683,25136259
1684,26546000
1685,26788731
1686,26359126
1687,29214122
1688,24392166
1689,16804518
1690,26872047
1691,20145619
1692,29510588
1693,27472721
1694,27504266
1695,27578998
1696,25364329
1697,22259220
1698,25607935
1699,28742762
1700,25897648
1701,26622168
1702,29541148
1703,27121161
1704,28352769
1705,17554565
1706,27175702
1707,26161690
1708,28434403
1709,24579023
1710,27551566
1711,26067469
1712,28878751
1713,26273262
1714,25680324
1715,23696697
1716,22045184
1717,22767987
1718,25363168
1719,30373605
1720,29343679
1721,27274314
1722,29308082
1723,22347954
1724,28515451
1725,27429138
1726,29744142
1727,25980577
1728,25426396
1729,25956387
1730,24418928
1731,27233277
1732,22866043
1733,27227446
1734,23855442
1735,28469823
1736,27751256
1737,26566443
1738,27489773
1739,26869887
1740,24393611
1741,26649174
1742,25886293
1743,28881854
1744,25115387
1745,27843342
1746,27490115
1747,27298916
1748,27203213
1749,28514314
1750,26430598
1751,22253541
1752,28820457
1753,24772083
1754,27163073
1755,20505833
1756,23526904
1757,23017442
1758,16704850
1759,29184663
1760,23555921
1761,21798066
1762,19259097
1763,16545122
1764,15318951
1765,22566947
1766,28831736
1767,24436712
1768,30065706
1769,22213561
1770,27729854
1771,24680162
1772,28202867
1773,27257452
1774,23060791
1775,29263371
1776,23836464
1777,29388014
1778,29659611
1779,28798942
1780,25430999
1781,29244870
1782,26894011
1783,27247911
1784,27248827
1785,30754648
1786,27229856
1787,20226059
1788,26236590
1789,27803156
1790,29709957
1791,26384486
1792,26855577
1793,17453130
1794,26566512
1795,27512623
1796,27836684
1797,26690229
1798,23739699
1799,29325527
1800,29344789
1801,22259224
1802,26106957
1803,26157926
1804,27882918
1805,21183952
1806,28293079
1807,26514182
1808,26864456
1809,28487677
1810,27652284
1811,28098911
1812,27367682
1813,26766898
1814,25999685
1815,27368974
1816,27899486
1817,27992435
1818,28301451
1819,25093717
1820,21531743
1821,28489772
1822,28865438
1823,22768875
1824,28665259
1825,30677262
1826,27098800
1827,29904012
1828,28400860
1829,29988424
1830,23000897
1831,20031062
1832,28713423
1833,24563244
1834,29743878
1835,2930694
1836,28730147
1837,21510865
1838,29117221
1839,26213549
1840,26729520
1841,29381966
1842,17631035
1843,29785654
1844,24384870
1845,27294768
1846,28603707
1847,27776535
1848,27447625
1849,22890223
1850,30607144
1851,27463687
1852,29123640
1853,29166494
1854,23861889
1855,28690728
1856,28223744
1857,23439489
1858,30602372
1859,27380894
1860,23937294
1861,24031365
1862,27323708
1863,23099803
1864,25375667
1865,29190812
1866,23077707
1867,28492026
1868,20485284
1869,23019529
1870,23818756
1871,30413082
1872,27307843
1873,30498384
1874,24696753
1875,25567156
1876,27330573
1877,25908228
1878,24390350
1879,25268603
1880,20433730
1881,26485258
1882,22393346
1883,25072037
1884,25437674
1885,24885054
1886,25861076
1887,21308299
1888,25489129
1889,27049736
1890,12720560
1891,9062417
1892,29967348
1893,30759885
1894,26675989
1895,27840695
1896,29653540
1897,27493788
1898,23999929
1899,17569084
1900,23837105
1901,28814897
1902,25729735
1903,23256030
1904,25520831
1905,27499643
1906,29347993
1907,26991898
1908,30352938
1909,28993765
1910,25760242
1911,24744824
1912,24147246
1913,26076142
1914,28884101
1915,26112642
1916,17584927
1917,24715757
1918,27593434
1919,25938087
1920,25165676
1921,25873294
1922,25236387
1923,28637058
1924,28344652
1925,26989571
1926,27747582
1927,22243770
1928,23497011
1929,26029618
1930,28293045
1931,29184427
1932,2875078
1933,25848385
1934,29163301
1935,29381932
1936,24476821
1937,22118601
1938,24288942
1939,27015601
1940,26237396
1941,22347935
1942,29354176
1943,27303550
1944,25781927
1945,29099844
1946,29867599
1947,24487276
1948,22737416
1949,29489665
1950,29250486
1951,27785071
1952,29515691
1953,30306138
1954,24878665
1955,27656267
1956,29120995
1957,28056035
1958,28330804
1959,30150569
1960,25312434
1961,25278816
1962,28924127
1963,29623257
1964,21488192
1965,28532540
1966,15890137
1967,25329479
1968,27307785
1969,28228879
1970,28025500
1971,30357070
1972,27217765
1973,23033316
1974,30393634
1975,25988769
1976,20626892
1977,29545831
1978,23514525
1979,28151861
1980,27158758
1981,25064447
1982,29126072
1983,27186257
1984,26431432
1985,18360652
1986,26936444
1987,24705254
1988,28386788
1989,24263064
1990,26384352
1991,29731937
1992,24223761
1993,24566317
1994,23097607
1995,26600240
1996,19127261
1997,23190739
1998,28861483
1999,29507782
2000,27350555
2001,28105131
2002,25256141
2003,25593979
2004,25566260
2005,28672826
2006,29145512
2007,26317305
2008,23569523
2009,17683625
2010,26030850
2011,24748771
2012,25967287
2013,25798414
2014,26692899
2015,18648544
2016,27781381
2017,27299087
2018,29888160
2019,23506796
2020,26391351
2021,27275327
2022,27029192
2023,26060412
2024,27977577
2025,26230519
2026,30348196
2027,24164964
2028,28359327
2029,26029540
2030,28737715
2031,26848525
2032,30587154
2033,24499623
2034,24505158
2035,27310950
2036,21794140
2037,26469269
2038,8903148
2039,28854770
2040,27884179
2041,28644432
2042,29545995
2043,30359449
2044,22207875
2045,22000354
2046,28560163
2047,22809267
2048,19957011
2049,28066717
2050,26937323
2051,22495309
2052,19636493
2053,22933107
2054,26384679
2055,19924277
2056,28054130
2057,30733842
2058,25671207
2059,28394285
2060,19032785
2061,24219506
2062,29390574
2063,29285010
2064,16709365
2065,25083883
2066,29988786
2067,27257909
2068,27022350
2069,26221190
2070,27070599
2071,19930726
2072,29038235
2073,30560050
2074,27473183
2075,27118594
2076,29854348
2077,19078957
2078,26641251
2079,27717243
2080,28225769
2081,24719807
2082,24748411
2083,26273383
2084,26618708
2085,24143197
2086,21252172
2087,25632241
2088,10341180
2089,28858125
2090,25056443
2091,24285646
2092,25738479
2093,27848944
2094,28103879
2095,29089897
2096,24526250
2097,29491298
2098,30459966
2099,28830446
2100,25522322
2101,27255271
2102,28855921
2103,26985330
2104,24312545
2105,23902750
2106,27500084
2107,28396847
2108,28955488
2109,30459602
2110,30560866
2111,29907163
2112,27298685
2113,29515789
2114,28894382
2115,30287875
2116,14757746
2117,25830311
2118,25492982
2119,13531168
2120,25493267
2121,29556726
2122,25870508
2123,27023170
2124,22720107
2125,23807759
2126,27051583
2127,27148574
2128,29988175
2129,30397535
2130,26310790
2131,28781862
2132,25387087
2133,29721543
2134,29484082
2135,20492708
2136,19001017
2137,23622872
2138,20628385
2139,30111321
2140,20398365
2141,26656846
